n,p,seed,ai_depth,num_moves,winner,nodes_explored,elapsed_seconds
15,0.5,98,3,3,1,122,0.001508
15,0.5,99,3,3,1,50,0.000915
16,0.5,0,3,4,2,141,0.002375
16,0.5,1,3,3,1,92,0.001205
16,0.5,2,3,3,1,68,0.000947
16,0.5,3,3,5,1,172,0.003024
16,0.5,4,3,3,1,71,0.001019
16,0.5,5,3,3,1,79,0.001042
16,0.5,6,3,4,2,136,0.002345
16,0.5,7,3,4,2,111,0.001602
16,0.5,8,3,3,1,70,0.000957
16,0.5,9,3,4,2,121,0.001602
16,0.5,10,3,3,1,88,0.001623
16,0.5,11,3,3,1,90,0.00113
16,0.5,12,3,3,1,108,0.00138
16,0.5,13,3,3,1,75,0.001062
16,0.5,14,3,3,1,68,0.000964
16,0.5,15,3,3,1,81,0.001015
16,0.5,16,3,3,1,58,0.000836
16,0.5,17,3,3,1,72,0.000997
16,0.5,18,3,3,1,117,0.001478
16,0.5,19,3,3,1,91,0.001243
16,0.5,20,3,3,1,55,0.000897
16,0.5,21,3,3,1,59,0.000958
16,0.5,22,3,4,2,147,0.001791
16,0.5,23,3,3,1,63,0.001026
16,0.5,24,3,3,1,60,0.00115
16,0.5,25,3,3,1,67,0.000881
16,0.5,26,3,4,2,122,0.001663
16,0.5,27,3,3,1,55,0.001064
16,0.5,28,3,3,1,76,0.000968
16,0.5,29,3,3,1,137,0.001478
16,0.5,30,3,3,1,86,0.001045
16,0.5,31,3,3,1,92,0.001136
16,0.5,32,3,3,1,59,0.000895
16,0.5,33,3,3,1,60,0.001269
16,0.5,34,3,4,2,100,0.001389
16,0.5,35,3,4,2,103,0.001419
16,0.5,36,3,3,1,61,0.001103
16,0.5,37,3,3,1,138,0.001624
16,0.5,38,3,3,1,72,0.000961
16,0.5,39,3,3,1,64,0.000859
16,0.5,40,3,3,1,66,0.001037
16,0.5,41,3,4,2,119,0.001936
16,0.5,42,3,3,1,60,0.001013
16,0.5,43,3,3,1,80,0.001137
16,0.5,44,3,3,1,68,0.001336
16,0.5,45,3,4,2,113,0.001898
16,0.5,46,3,3,1,74,0.00111
16,0.5,47,3,3,1,77,0.001063
16,0.5,48,3,3,1,56,0.000901
16,0.5,49,3,3,1,63,0.001226
16,0.5,50,3,3,1,75,0.001094
16,0.5,51,3,4,2,148,0.001918
16,0.5,52,3,3,1,79,0.00112
16,0.5,53,3,3,1,64,0.001231
16,0.5,54,3,3,1,68,0.001437
16,0.5,55,3,3,1,64,0.001402
16,0.5,56,3,3,1,77,0.001219
16,0.5,57,3,3,1,103,0.00137
16,0.5,58,3,3,1,62,0.00098
